קורקינט חשמלי,,,מגמה:,317%
סה״כ נפגעים:,759,לעומת,182,בתקופה הקודמת
הרוגים,פצועים קשה,פצועים קל,,
4,90,665,,
33%,463%,308%,,
התקופה הקודמת (2016-2021):,,,,
3,16,163,,
,,,,
הולכי רגל,,,מגמה:,1%
סה״כ נפגעים:,4305,לעומת,4280,בתקופה הקודמת
הרוגים,פצועים קשה,פצועים קל,,
23,365,3917,,
35%,23%,-1%,,
התקופה הקודמת (2016-2021):,,,,
17,297,3966,,
,,,,
אופניים חשמליים,,,מגמה:,-29%
סה״כ נפגעים:,690,לעומת,966,בתקופה הקודמת
הרוגים,פצועים קשה,פצועים קל,,
2,59,629,,
-67%,11%,-31%,,
התקופה הקודמת (2016-2021):,,,,
6,53,907,,
,,,,
אופניים רגילים,,,מגמה:,-20%
סה״כ נפגעים:,791,לעומת,990,בתקופה הקודמת
הרוגים,פצועים קשה,פצועים קל,,
4,42,745,,
0%,-31%,-19%,,
התקופה הקודמת (2016-2021):,,,,
4,61,925,,
,,,,
קורקינט לא חשמלי,,,מגמה:,314%
סה״כ נפגעים:,145,לעומת,35,בתקופה הקודמת
הרוגים,פצועים קשה,פצועים קל,,
0,12,133,,
-100%,200%,343%,,
התקופה הקודמת (2016-2021):,,,,
1,4,30,,
