20 היישובים בעלי הציון המשוקלל* הגבוה ביותר בין 2026-2021:,,,,,,,
#,ישוב,הרוגים,פצועים קשה,פצועים קל,"סה""כ נפגעים","סה""כ תאונות",ציון משוקלל
1,ירושלים,7,96,742,845,811,"22,239"
2,תל אביב יפו,0,41,370,411,394,"3,686"
3,בני ברק,2,32,272,306,295,"2,619"
4,אשדוד,2,15,351,368,345,"1,969"
5,פתח תקווה,0,20,273,293,273,"1,341"
6,חיפה,1,18,208,227,218,"1,098"
7,ראשון לציון,1,21,163,185,178,987
8,נתניה,1,11,246,258,247,909
9,בית שמש,2,26,76,104,98,722
10,חולון,0,15,169,184,175,617
11,רחובות,0,14,164,178,171,560
12,אשקלון,0,11,189,200,194,520
13,לוד,1,11,120,132,126,429
14,באר שבע,1,9,125,135,133,386
15,רמת גן,1,10,114,125,117,380
16,ביתר עילית,1,18,56,75,71,338
17,בת ים,0,7,151,158,148,272
18,רמלה,0,9,105,114,108,230
19,חדרה,0,7,129,136,130,228
20,אלעד,0,7,65,72,70,111
